1.67561	3.39897	1.67561	4.39897	4.70729	-0.212434	12	1.67561	4.39897	4.70729	-0.212434	12
1.09213	3.2921	1.09213	4.2921	4.42887	-0.216777	12	1.09213	4.2921	4.42887	-0.216777	12
2.37874	2.90635	2.37874	3.90635	4.57361	-0.216543	12	2.37874	3.90635	4.57361	-0.216543	12
1.2235	3.8745	1.2235	4.3745	4.54238	-0.216975	8	1.2235	4.3745	4.54238	-0.216975	8
2.602	2.19001	2.602	3.69001	4.51515	-0.217182	16	2.602	3.69001	4.51515	-0.217182	16
2.8813	2.66787	2.8813	3.66787	4.66424	-0.214149	12	2.8813	3.66787	4.66424	-0.214149	12
2.41331	3.53992	2.41331	4.03992	4.70585	-0.212497	8	2.41331	4.03992	4.70585	-0.212497	8
2.50254	2.64772	2.50254	3.64772	4.42364	-0.2167	12	2.50254	3.64772	4.42364	-0.2167	12
1.36973	1.544	2.73947	3.58801	4.51425	-0.217187	13	2.73947	3.58801	4.51425	-0.217187	13
2.79802	2.94097	2.79802	3.44097	4.435	-0.21686	8	2.79802	3.44097	4.435	-0.21686	8
1.67549	4.09069	1.67549	4.09069	4.42052	-0.21665	4	1.67549	4.09069	4.42052	-0.21665	4
4.22345	1.49553	4.22345	1.49553	4.48042	-0.217215	4	4.22345	1.49553	4.48042	-0.217215	4
2.48433	3.07812	2.48433	3.57812	4.35601	-0.215143	8	2.48433	3.57812	4.35601	-0.215143	8
2.76084	1.89905	2.76084	3.39905	4.37902	-0.215789	16	2.76084	3.39905	4.37902	-0.215789	16
1.36761	3.72186	1.36761	4.22186	4.43784	-0.216896	8	1.36761	4.22186	4.43784	-0.216896	8
2.03456	2.59154	2.03456	4.09154	4.56947	-0.216612	16	2.03456	4.09154	4.56947	-0.216612	16
3.19246	3.09106	3.19246	3.09106	4.4437	-0.216963	4	3.19246	3.09106	4.4437	-0.216963	4
1.08627	3.361	1.08627	4.361	4.49425	-0.217234	12	1.08627	4.361	4.49425	-0.217234	12
2.05684	1.89436	4.11367	3.78872	5.59255	-0.113906	9	4.11367	3.78872	5.59255	-0.113906	9
1.35915	2.53579	2.7183	5.07157	5.75413	-0.0877138	9	2.7183	5.07157	5.75413	-0.0877138	9
1.3668	3.53966	1.3668	4.03966	4.26463	-0.211371	8	1.3668	4.03966	4.26463	-0.211371	8
3.12459	2.63909	3.12459	3.13909	4.4291	-0.21678	8	3.12459	3.13909	4.4291	-0.21678	8
2.47269	2.59692	2.47269	3.59692	4.36486	-0.215406	12	2.47269	3.59692	4.36486	-0.215406	12
1.07961	1.36756	2.15921	3.73513	4.31432	-0.213663	10	2.15921	3.73513	4.31432	-0.213663	10
1.53777	2.04555	3.07554	4.09109	5.1182	-0.179513	9	3.07554	4.09109	5.1182	-0.179513	9
1.04748	1.00664	3.14245	3.01993	4.35832	-0.215213	9	3.14245	3.01993	4.35832	-0.215213	9
1.32546	3.30909	1.32546	4.30909	4.50834	-0.217209	12	1.32546	4.30909	4.50834	-0.217209	12
4.09104	1.71039	4.09104	1.71039	4.43419	-0.216849	4	4.09104	1.71039	4.43419	-0.216849	4
2.89472	2.34927	2.89472	3.34927	4.42685	-0.216748	12	2.89472	3.34927	4.42685	-0.216748	12
2.57008	2.59013	2.57008	3.59013	4.41524	-0.216562	12	2.57008	3.59013	4.41524	-0.216562	12
1.02072	3.10112	1.02072	4.60112	4.71298	-0.21218	16	1.02072	4.60112	4.71298	-0.21218	16
1.16184	3.83834	1.16184	4.33834	4.49122	-0.217233	8	1.16184	4.33834	4.49122	-0.217233	8
2.40938	1.9484	2.40938	3.9484	4.62547	-0.215378	20	2.40938	3.9484	4.62547	-0.215378	20
2.59036	1.63031	2.59036	3.63031	4.45972	-0.21711	20	2.59036	3.63031	4.45972	-0.21711	20
1.57982	3.10858	1.57982	4.10858	4.40185	-0.216311	12	1.57982	4.10858	4.40185	-0.216311	12
3.42696	1.56945	3.42696	3.06945	4.6006	-0.216006	16	3.42696	3.06945	4.6006	-0.216006	16
3.30034	1.9864	3.30034	2.9864	4.45093	-0.217036	12	3.30034	2.9864	4.45093	-0.217036	12
1.74263	3.27479	1.74263	4.27479	4.61634	-0.215623	12	1.74263	4.27479	4.61634	-0.215623	12
2.82764	3.01423	2.82764	3.51423	4.51059	-0.217202	8	2.82764	3.51423	4.51059	-0.217202	8
2.92981	1.14292	2.92981	3.64292	4.6749	-0.213758	24	2.92981	3.64292	4.6749	-0.213758	24
1.40307	2.37417	2.80615	4.74834	5.51554	-0.125906	9	2.80615	4.74834	5.51554	-0.125906	9
1.90889	1.58199	3.81777	3.16399	4.95845	-0.195601	9	3.81777	3.16399	4.95845	-0.195601	9
4.20247	1.01621	4.20247	1.51621	4.46762	-0.217161	8	4.20247	1.51621	4.46762	-0.217161	8
2.87164	2.4336	2.87164	3.4336	4.47615	-0.217201	12	2.87164	3.4336	4.47615	-0.217201	12
