-1.99997	-2.00007	320.004	5.79986e-10	190
0.0102945	0.0100455	79.1885	0.808157	182
0.68445	0.684549	34.6108	1.44131	191
1.02256	1.0227	19.105	1.82726	198
1.22588	1.22585	11.9857	2.08124	199
1.3613	1.36133	8.15847	2.25968	199
1.45808	1.45817	5.87257	2.39173	196
1.53106	1.53088	4.39975	2.49355	187
1.58743	1.58742	3.40434	2.57393	186
1.63269	1.63269	2.69827	2.63929	273
1.66972	1.66972	2.18172	2.69337	202
1.70058	1.70059	1.79302	2.73886	199
1.72671	1.72671	1.49378	2.77767	271
1.74919	1.74924	1.25786	2.81132	191
1.76851	1.76851	1.07179	2.84033	271
1.7855	1.78551	0.920167	2.86601	201
1.80037	1.80053	0.796394	2.88869	199
1.8138	1.8138	0.693406	2.90901	185
1.82572	1.82572	0.607497	2.92722	273
1.83663	1.83642	0.534483	2.94378	191
1.84606	1.84611	0.473795	2.95847	194
1.85485	1.85503	0.420837	2.97212	199
1.863	1.86308	0.375156	2.98462	193
1.8704	1.87042	0.335884	2.99601	181
1.87738	1.87744	0.300559	3.00686	198
1.88356	1.88353	0.271255	3.01638	202
1.8893	1.88931	0.245088	3.02533	189
1.89483	1.89453	0.221835	3.03371	184
1.89958	1.89967	0.201502	3.04142	202
1.9043	1.90448	0.182826	3.04885	202
1.9088	1.9088	0.166364	3.05574	273
1.91305	1.91292	0.151436	3.06229	188
1.91676	1.91676	0.138578	3.0682	198
1.92045	1.9203	0.126802	3.07387	197
1.92384	1.92384	0.116005	3.07931	199
1.92708	1.9271	0.106315	3.08441	191
1.9304	1.93049	0.096771	3.08967	113
1.9329	1.93317	0.0896826	3.09376	196
1.93572	1.93579	0.0825495	3.09803	183
1.93836	1.93839	0.0759573	3.10216	194
1.94092	1.94103	0.069675	3.10626	190
1.94329	1.94319	0.0644302	3.10983	192
1.94551	1.94551	0.0593913	3.1134	197
1.94748	1.94784	0.0547889	3.1168	195
1.94952	1.95187	0.048642	3.1216	124
1.95158	1.95177	0.0467057	3.12315	197
1.95349	1.95366	0.0430987	3.12616	200
1.9553	1.9554	0.0398667	3.12896	188
1.9571	1.95713	0.0367836	3.13175	182
1.9588	1.9588	0.0339535	3.13441	269
1.9605	1.96036	0.0313223	3.13699	191
1.96163	1.96208	0.0291013	3.13926	195
1.96344	1.96343	0.0267447	3.14176	194
1.96479	1.96491	0.024708	3.14401	196
1.96611	1.96647	0.0227228	3.1463	114
1.96753	1.96754	0.0210772	3.14827	196
1.96876	1.9688	0.0194905	3.15025	193
1.97002	1.97006	0.0179542	3.15224	181
1.97121	1.97131	0.0165191	3.15418	197
1.9724	1.9724	0.0152395	3.15599	271
1.97361	1.97355	0.0139596	3.15787	203
1.9745	1.9746	0.0129536	3.15941	194
1.97558	1.97568	0.0118784	3.16113	200
1.97653	1.97643	0.0110608	3.16248	110
1.97761	1.97757	0.010045	3.16424	191
1.97856	1.97849	0.00922332	3.16573	187
1.97964	1.97944	0.00837397	3.16734	196
1.9804	1.98039	0.00768722	3.16871	269
1.98146	1.98124	0.00695746	3.17023	191
1.98211	1.98211	0.00640036	3.17144	199
1.98282	1.98302	0.00583621	3.17273	190
1.98362	1.98362	0.00536641	3.17384	182
1.98442	1.98445	0.00484532	3.17514	188
1.98533	1.98518	0.00434769	3.17645	190
1.986	1.98599	0.00392275	3.17763	270
1.98667	1.98677	0.00352942	3.17878	200
1.98729	1.98742	0.00319874	3.1798	190
1.98807	1.98808	0.0028435	3.18095	196
1.98878	1.98848	0.00258645	3.18183	187
1.9894	1.98939	0.00224927	3.18305	269
1.99003	1.99003	0.00198971	3.18406	270
1.99055	1.99062	0.00177189	3.18496	182
1.99276	1.98858	0.00182742	3.18509	131
1.99176	1.99196	0.00132475	3.18699	113
1.99156	1.99036	0.00164305	3.18555	121
1.99309	1.99308	0.000955789	3.18895	115
1.99364	1.99337	0.000844308	3.18961	191
1.994	1.99405	0.000714497	3.19044	205
1.99435	1.99445	0.000628309	3.19104	189
1.99515	1.99511	0.000473877	3.19222	202
1.99565	1.99554	0.000388031	3.19296	196
1.99616	1.99602	0.000305438	3.19375	196
1.99654	1.99652	0.000240677	3.19445	201
1.99699	1.99699	0.000181119	3.19519	195
1.99734	1.99726	0.000145866	3.19568	189
1.99798	1.99789	8.54629e-05	3.19669	189
1.99838	1.99831	5.47486e-05	3.19735	188
1.9987	1.99877	3.20495e-05	3.19798	189
1.9992	1.99922	1.2411e-05	3.19874	183
1.99971	1.99966	1.94736e-06	3.1995	196
2.0001	2.00005	1.31761e-07	3.20012	195
