800.073	37.9581	200	49.9995	3.06144	0.0420135	384
532.164	34.9029	200.013	41.1111	2.06987	0.0919384	312
411.029	14.755	200.01	36.5479	1.63584	0.147185	369
271.352	40.7879	200.017	29.6615	1.0775	0.339301	308
310.629	26.8587	200.021	32.4479	1.28947	0.236939	308
600.8	34.3097	200.069	31.1824	1.19115	0.278009	315
744.985	43.5741	200.069	30.2271	1.11928	0.314854	319
677.954	25.6406	200.533	29.4105	1.06207	0.353758	316
749.721	28.5465	200.215	28.7763	1.01515	0.384157	316
968.262	30.3757	200.653	28.0814	0.968827	0.426407	320
306.313	28.9172	200.006	22.9916	0.647358	0.939758	307
709.809	14.8455	200.344	27.1831	0.906443	0.483383	311
834.674	37.6754	200.201	26.6511	0.870683	0.522039	320
454.039	21.7143	200.327	26.229	0.843856	0.557504	311
337.667	19.4838	200.155	25.8648	0.819876	0.588065	373
729.644	14.8617	200	25.5045	0.796579	0.620554	373
594.451	47.6452	-328.75	-22.3522	-1.0057	-4.67174	313
947.616	43.1794	200.224	24.906	0.760484	0.684682	323
853.968	41.0251	200.36	24.6223	0.743757	0.718251	320
607.769	26.8493	200.356	24.3176	0.725449	0.754884	314
671.37	19.5835	200.075	24.7974	0.753299	0.695204	243
312.594	39.6899	198.967	-12.335	0.185365	11.1671	372
246.224	16.1152	200.027	23.5809	0.681039	0.849538	302
268.562	13.3057	200.027	23.3505	0.667799	0.883566	303
533.024	39.3129	200	23.1465	0.656092	0.914762	377
769.496	39.9286	200.2	22.9611	0.646268	0.947498	318
530.717	34.7827	820.46	43.6427	9.5685	4.99672	311
464.013	26.7571	200.018	19.1633	0.449754	1.94754	311
478.012	17.6318	198.964	-12.333	0.1853	11.174	472
706.878	15.2489	200.065	22.1674	0.601958	1.08845	310
841.002	38.5683	200	21.9991	0.592656	1.12107	382
678.737	16.2274	200.053	21.8134	0.582851	1.16064	309
716.946	13.2163	200.038	21.6762	0.575497	1.19005	309
480.423	16.7286	200.046	21.4763	0.564954	1.23514	307
254.277	17.3128	200.01	18.9454	0.439566	2.03844	302
758.463	37.2612	200	21.1773	0.549208	1.30547	380
923.602	40.1857	200.033	29.3722	1.05667	0.35295	317
505.729	15.156	200.054	20.1844	0.499046	1.58321	240
963.216	30.3532	200.01	19.9768	0.48873	1.64894	250
831.64	47.7542	198.94	-12.3341	0.185312	11.1659	390
